City_ID,City,Country,lat,lng,Max Temp,% Humidity,% Cloudiness,Wind Speed (mph),Weather Description
79,Butaritari,KI,3.0707,172.7902,81.64,77,47,16.22,light rain
80,Soyo,AO,-6.1349,12.3689,79.09,90,100,3.49,overcast clouds
81,Vardo,NO,70.3705,31.1107,27.84,69,100,7.87,overcast clouds
82,Kita,ML,13.0349,-9.4895,89.69,11,76,4.61,broken clouds
83,Nikolskoye,RU,59.7035,30.7861,26.87,95,6,3.11,clear sky
84,Nemuro,JP,43.3236,145.575,37.51,72,2,14.38,clear sky
85,Macamic,CA,48.7502,-78.9996,28.74,95,100,2.77,overcast clouds
86,Castro,BR,-24.7911,-50.0119,58.84,96,100,9.15,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,83.07,69,5,6.51,clear sky
88,Ilulissat,GL,69.2167,-51.1,26.62,74,47,1.14,scattered clouds
89,Coihaique,CL,-45.5752,-72.0662,41.61,93,40,2.3,scattered clouds
90,Port Lincoln,AU,-34.7333,135.8667,64.35,68,13,6.64,few clouds
91,Henties Bay,NA,-22.116,14.2845,59.9,89,6,5.01,clear sky
92,Kodiak,US,57.79,-152.4072,38.71,81,0,4.61,clear sky
93,Chokurdakh,RU,70.6333,147.9167,1.08,92,98,4.74,overcast clouds
94,Kaitangata,NZ,-46.2817,169.8464,63.1,55,50,7.76,scattered clouds
95,Shingu,JP,33.7333,135.9833,50.38,91,100,9.46,overcast clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,61.88,76,0,20.0,clear sky
97,Yeppoon,AU,-23.1333,150.7333,83.98,62,57,13.06,broken clouds
98,Virginia Beach,US,36.8529,-75.978,49.05,70,40,10.36,scattered clouds
99,Nguruka,TZ,-5.1092,31.0419,64.42,92,92,2.62,light rain
100,Qasigiannguit,GL,68.8193,-51.1922,26.85,91,71,2.26,broken clouds
101,Tuy Hoa,VN,13.0833,109.3,72.36,87,100,17.87,overcast clouds
102,Touros,BR,-5.1989,-35.4608,77.61,88,79,9.31,broken clouds
103,Slave Lake,CA,55.2834,-114.769,40.98,52,0,10.36,clear sky
104,Namibe,AO,-15.1961,12.1522,70.95,83,100,2.08,overcast clouds
105,Luganville,VU,-15.5333,167.1667,78.33,91,100,6.58,overcast clouds
106,Sur,OM,22.5667,59.5289,83.46,35,68,9.28,broken clouds
107,Yongchang,CN,30.0381,119.7317,49.37,68,0,2.28,clear sky
108,Garowe,SO,8.4054,48.4845,70.21,90,5,8.1,clear sky
109,Port Hardy,CA,50.6996,-127.4199,46.58,71,75,6.91,broken clouds
110,Asau,RO,46.4333,26.4,38.95,100,89,1.43,overcast clouds
111,Richards Bay,ZA,-28.783,32.0377,70.9,97,67,2.42,light rain
112,Rodrigues Alves,BR,-7.738,-72.6509,71.8,84,95,1.14,overcast clouds
113,Mormugao,IN,15.4,73.8,78.06,83,20,4.61,few clouds
114,Petatlan,MX,17.5167,-101.2667,80.4,63,78,5.95,broken clouds
115,Along,IN,28.1667,94.7667,67.42,96,95,1.07,overcast clouds
116,Hurghada,EG,27.2574,33.8129,78.6,22,73,11.3,broken clouds
117,Anchorage,US,61.2181,-149.9003,45.64,51,40,13.0,scattered clouds
118,Manoharpur,IN,27.3,75.95,73.99,9,0,7.38,clear sky
119,San Cristobal,VE,7.7669,-72.225,75.38,72,48,3.0,scattered clouds
120,Saint-Augustin,CA,51.226,-58.6502,32.81,97,100,15.35,snow
121,Beringovskiy,RU,63.05,179.3167,5.5,82,90,14.94,overcast clouds
122,Verkhoyansk,RU,67.5447,133.385,5.5,90,100,0.76,overcast clouds
123,Am Timan,TD,11.0297,20.2827,86.58,12,57,5.64,broken clouds
124,Basco,PH,20.4487,121.9702,74.89,79,100,31.05,overcast clouds
125,Pisco,PE,-13.7,-76.2167,66.25,82,0,12.66,clear sky
126,Gao,ML,16.6362,1.637,83.34,4,25,4.03,scattered clouds
