City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kodiak,US,2022-04-02 19:59:46,57.79,-152.4072,38.71,81,75,3.44
68,Saint George,US,2022-04-02 19:59:47,37.1041,-113.5841,81.63,20,18,4.0
69,Ribeira Grande,PT,2022-04-02 19:56:49,38.5167,-28.7,61.2,67,40,16.11
70,Hualmay,PE,2022-04-02 19:59:47,-11.0964,-77.6139,74.03,72,65,10.6
71,Bhopal,IN,2022-04-02 19:59:47,23.2667,77.4,84.63,15,0,4.83
72,Beringovskiy,RU,2022-04-02 19:59:48,63.05,179.3167,5.92,94,99,12.24
73,New Norfolk,AU,2022-04-02 19:59:48,-42.7826,147.0587,54.9,68,92,0.85
74,Cabo San Lucas,MX,2022-04-02 19:59:46,22.8909,-109.9124,79.61,62,68,10.8
75,San Patricio,US,2022-04-02 19:59:49,28.017,-97.5169,90.16,41,0,8.57
76,Longview,US,2022-04-02 19:59:49,32.5007,-94.7405,80.85,33,0,1.99
77,Cayenne,GF,2022-04-02 19:56:46,4.9333,-52.3333,80.1,1,75,3.0
78,Kaohsiung,TW,2022-04-02 19:59:50,22.6163,120.3133,60.75,91,75,6.91
79,Cape Town,ZA,2022-04-02 19:59:19,-33.9258,18.4232,65.26,71,20,14.97
80,Georgetown,MY,2022-04-02 19:57:04,5.4112,100.3354,78.73,93,20,5.01
81,Port Hardy,CA,2022-04-02 19:59:50,50.6996,-127.4199,44.78,87,100,16.11
82,Shakawe,BW,2022-04-02 19:59:50,-18.3667,21.85,74.37,50,59,3.58
83,Llanera,ES,2022-04-02 19:59:51,43.4619,-5.9311,42.49,65,20,2.3
84,Soyo,AO,2022-04-02 19:59:51,-6.1349,12.3689,78.13,90,100,7.54
85,Lamu,KE,2022-04-02 19:59:51,-2.2717,40.902,80.38,80,100,9.91
86,Santa Cruz,BO,2022-04-02 19:59:52,-17.8,-63.1667,81.86,41,20,9.22
